;[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa.;[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa.;[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica.;[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica.;[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica.;[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica.;[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica.;[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia.;[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica.;[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais.;[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante.;[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia.;[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia.;[SM2] Minha empresa controla e monitora seus dados técnicos.;[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia.;[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos.;[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia.;[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica.;[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica.;[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente.;[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão.;[SV3] Minha organização está ciente da necessidade de proteção tecnológica.;[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia.;[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica.;[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios.;[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa.;[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão.;[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia.;[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas.;[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas.;[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança.;﻿[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica.
[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante.;0.349;0.487;0.445;0.479;0.453;0.557;0.460;0.541;0.715;0.732;1.000;0.753;0.492;0.493;0.305;0.403;0.605;0.499;0.457;0.594;0.523;0.465;0.451;0.356;0.259;0.295;0.339;0.354;0.419;0.375;0.294;0.390
[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia.;0.410;0.499;0.390;0.440;0.463;0.459;0.446;0.441;0.701;0.711;0.753;1.000;0.443;0.475;0.296;0.390;0.512;0.478;0.462;0.559;0.519;0.372;0.435;0.249;0.193;0.254;0.256;0.333;0.410;0.315;0.346;0.342
[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia.;0.431;0.583;0.443;0.459;0.584;0.581;0.588;0.548;0.467;0.466;0.492;0.443;1.000;0.730;0.604;0.569;0.560;0.476;0.431;0.541;0.626;0.510;0.563;0.436;0.416;0.499;0.517;0.526;0.413;0.381;0.329;0.599
[SM2] Minha empresa controla e monitora seus dados técnicos.;0.512;0.622;0.446;0.471;0.651;0.598;0.539;0.566;0.463;0.404;0.493;0.475;0.730;1.000;0.678;0.562;0.554;0.464;0.413;0.498;0.558;0.566;0.516;0.411;0.420;0.507;0.444;0.556;0.531;0.453;0.367;0.513
[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia.;0.375;0.438;0.334;0.350;0.518;0.468;0.454;0.410;0.281;0.349;0.305;0.296;0.604;0.678;1.000;0.488;0.350;0.283;0.217;0.355;0.497;0.456;0.385;0.357;0.428;0.453;0.411;0.510;0.373;0.353;0.326;0.517
[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos.;0.370;0.504;0.420;0.369;0.374;0.487;0.475;0.482;0.330;0.385;0.403;0.390;0.569;0.562;0.488;1.000;0.378;0.304;0.309;0.325;0.455;0.359;0.424;0.349;0.299;0.398;0.346;0.467;0.476;0.450;0.393;0.420
[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia.;0.454;0.548;0.437;0.581;0.460;0.571;0.546;0.520;0.522;0.536;0.605;0.512;0.560;0.554;0.350;0.378;1.000;0.749;0.621;0.746;0.598;0.470;0.599;0.360;0.289;0.361;0.390;0.346;0.407;0.448;0.374;0.502
[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica.;0.364;0.421;0.374;0.380;0.442;0.475;0.427;0.438;0.509;0.444;0.499;0.478;0.476;0.464;0.283;0.304;0.749;1.000;0.700;0.640;0.491;0.326;0.454;0.368;0.283;0.325;0.342;0.278;0.287;0.237;0.277;0.371
[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica.;0.398;0.352;0.318;0.413;0.409;0.482;0.359;0.372;0.554;0.427;0.457;0.462;0.431;0.413;0.217;0.309;0.621;0.700;1.000;0.603;0.487;0.340;0.494;0.348;0.270;0.347;0.316;0.243;0.277;0.172;0.252;0.437
[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente.;0.399;0.476;0.338;0.463;0.506;0.569;0.532;0.477;0.506;0.500;0.594;0.559;0.541;0.498;0.355;0.325;0.746;0.640;0.603;1.000;0.616;0.538;0.544;0.279;0.240;0.326;0.335;0.287;0.331;0.422;0.250;0.563
[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão.;0.487;0.507;0.477;0.523;0.574;0.604;0.593;0.560;0.462;0.476;0.523;0.519;0.626;0.558;0.497;0.455;0.598;0.491;0.487;0.616;1.000;0.707;0.718;0.370;0.340;0.445;0.405;0.437;0.444;0.377;0.324;0.735
[SV3] Minha organização está ciente da necessidade de proteção tecnológica.;0.431;0.489;0.379;0.511;0.564;0.593;0.498;0.576;0.408;0.456;0.465;0.372;0.510;0.566;0.456;0.359;0.470;0.326;0.340;0.538;0.707;1.000;0.653;0.340;0.335;0.381;0.335;0.463;0.313;0.441;0.305;0.649
[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia.;0.481;0.515;0.467;0.535;0.567;0.591;0.564;0.510;0.430;0.432;0.451;0.435;0.563;0.516;0.385;0.424;0.599;0.454;0.494;0.544;0.718;0.653;1.000;0.471;0.386;0.451;0.401;0.452;0.334;0.387;0.364;0.704
[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica.;0.490;0.611;0.528;0.562;0.464;0.565;0.505;0.530;0.337;0.304;0.356;0.249;0.436;0.411;0.357;0.349;0.360;0.368;0.348;0.279;0.370;0.340;0.471;1.000;0.768;0.788;0.799;0.389;0.376;0.224;0.325;0.383
[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios.;0.493;0.525;0.403;0.493;0.427;0.546;0.419;0.414;0.268;0.204;0.259;0.193;0.416;0.420;0.428;0.299;0.289;0.283;0.270;0.240;0.340;0.335;0.386;0.768;1.000;0.783;0.749;0.427;0.302;0.213;0.198;0.408
[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa.;0.545;0.584;0.495;0.566;0.528;0.600;0.549;0.522;0.281;0.282;0.295;0.254;0.499;0.507;0.453;0.398;0.361;0.325;0.347;0.326;0.445;0.381;0.451;0.788;0.783;1.000;0.827;0.447;0.470;0.267;0.306;0.501
[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão.;0.496;0.589;0.502;0.541;0.481;0.539;0.454;0.473;0.296;0.283;0.339;0.256;0.517;0.444;0.411;0.346;0.390;0.342;0.316;0.335;0.405;0.335;0.401;0.799;0.749;0.827;1.000;0.424;0.361;0.233;0.337;0.441
[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia.;0.468;0.592;0.502;0.527;0.569;0.555;0.411;0.445;0.390;0.346;0.354;0.333;0.526;0.556;0.510;0.467;0.346;0.278;0.243;0.287;0.437;0.463;0.452;0.389;0.427;0.447;0.424;1.000;0.670;0.619;0.578;0.534
[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas.;0.458;0.539;0.485;0.446;0.463;0.528;0.546;0.458;0.372;0.337;0.419;0.410;0.413;0.531;0.373;0.476;0.407;0.287;0.277;0.331;0.444;0.313;0.334;0.376;0.302;0.470;0.361;0.670;1.000;0.597;0.602;0.422
[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas.;0.323;0.481;0.341;0.397;0.408;0.428;0.405;0.405;0.278;0.318;0.375;0.315;0.381;0.453;0.353;0.450;0.448;0.237;0.172;0.422;0.377;0.441;0.387;0.224;0.213;0.267;0.233;0.619;0.597;1.000;0.503;0.465
[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança.;0.411;0.429;0.436;0.399;0.438;0.419;0.442;0.401;0.243;0.253;0.294;0.346;0.329;0.367;0.326;0.393;0.374;0.277;0.252;0.250;0.324;0.305;0.364;0.325;0.198;0.306;0.337;0.578;0.602;0.503;1.000;0.386
﻿[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica.;0.449;0.524;0.479;0.505;0.530;0.618;0.568;0.430;0.334;0.333;0.390;0.342;0.599;0.513;0.517;0.420;0.502;0.371;0.437;0.563;0.735;0.649;0.704;0.383;0.408;0.501;0.441;0.534;0.422;0.465;0.386;1.000
