[SV1] Minha empresa compartilha a importância e o valor da proteção tecnológica.;[SV2] Minha empresa inclui o conceito de proteção tecnológica em suas metas de gestão.;[SV3] Minha organização está ciente da necessidade de proteção tecnológica.;[SV4] Minha empresa tem uma cultura organizacional que protege sua tecnologia.;[SG1] Minha empresa possui uma estratégia de longo prazo para a proteção tecnológica.;[SG2] Para minha empresa, a proteção tecnológica é uma prioridade estratégica.;[SG3] Minha empresa possui um plano operacional para execução das ações de proteção tecnológica.;[SG4] Minha empresa investe um orçamento suficiente para proteger sua tecnologia.;[SU1] Minha empresa possui uma estrutura organizacional sistemática para proteger sua tecnologia.;[SU2] Minha empresa possui um departamento encarregado de suas responsabilidades de proteção tecnológica.;[SU3] Minha empresa possui um gerente encarregado das responsabilidades de proteção tecnológica.;[SU4] Minha empresa opera e gerencia suas responsabilidades de proteção tecnológica de forma eficiente.;[SM1] Minha empresa possui os regulamentos relevantes para proteger sua tecnologia.;[SM2] Minha empresa controla e monitora seus dados técnicos.;[SM3] Minha empresa usa acordos de confidencialidade e não concorrência para proteger sua tecnologia.;[SM4] Minha empresa usa recompensas para funcionários que são excelentes em proteger a tecnologia da empresa e aplica diretrizes previstas para aqueles que violam os regulamentos.;[SF1] Os membros da minha empresa entendem seus papéis e responsabilidades na proteção da tecnologia da empresa.;[SF2] Os membros da minha empresa aderem estritamente aos regulamentos e diretrizes relevantes para proteger a tecnologia da empresa.;[SF3] Os membros da minha empresa recebem treinamento relacionado à proteção tecnológica.;[SF4] Os membros da minha empresa respeitam os gerentes encarregados da proteção tecnológica.;[SY1] A equipe de gestão da minha empresa tem um alto nível de interesse em proteção tecnológica.;[SY2] A equipe de gestão da minha empresa reconhece que a proteção tecnológica é importante para as atividades de negócios.;[SY3] A equipe de gestão da minha empresa apoia ativamente a proteção da tecnologia da empresa.;[SY4] A equipe de gestão da minha empresa leva a questão da proteção tecnológica em consideração durante os processos de tomada de decisão.;[SK1] Na minha empresa, a divisão encarregada da proteção da tecnologia tem expertise em proteção tecnológica.;[SK2] Na minha empresa, os membros do pessoal encarregado da proteção tecnológica têm certificações profissionais.;[SK3] Na minha empresa, a divisão ou o pessoal encarregado da proteção tecnológica recebe o treinamento profissional relevante.;[SK4] Minha empresa possui um manual de resposta para a ocorrência de vazamentos de tecnologia.;[TP1] Minha empresa protege bem a confidencialidade relacionada à tecnologia.;[TP2] Minha empresa é melhor no gerenciamento de segurança do que outras empresas.;[TP3] Minha empresa tem menos vazamentos de tecnologia ou incidentes de segurança em comparação com outras empresas.;[TP4] Minha empresa nunca sofreu grandes danos por vazamentos de tecnologia ou incidentes de segurança.;Idade (em anos completos)
6;6;7;7;5;5;6;6;5;6;5;5;6;7;7;7;5;5;3;5;5;5;5;5;4;4;5;4;7;6;6;7;36
4;4;4;4;5;2;3;2;4;4;4;2;5;5;5;1;5;4;3;4;4;5;5;6;4;2;3;3;6;4;4;5;55
5;5;5;6;4;3;4;3;4;5;4;3;6;5;3;2;4;4;7;5;4;5;4;5;4;5;3;2;4;1;4;1;28
5;4;5;5;6;6;6;4;6;5;6;5;7;7;6;3;7;6;5;7;6;7;6;7;5;5;6;4;6;7;6;7;42
5;5;7;6;6;6;6;6;4;5;5;6;5;4;4;1;5;3;4;4;6;5;5;5;3;5;4;3;2;2;5;4;43
4;4;5;5;5;5;5;4;7;6;6;6;4;3;4;1;4;3;4;6;6;6;4;5;5;5;5;3;5;2;5;6;42
7;6;7;7;6;7;7;6;7;6;7;6;7;6;5;4;6;5;7;5;5;7;6;7;5;5;6;4;7;7;7;7;44
4;4;4;3;5;3;3;4;3;3;4;4;3;3;4;2;3;3;4;4;3;4;4;4;5;4;5;3;4;5;5;5;36
4;7;7;6;6;5;2;5;5;5;5;4;5;5;7;3;4;3;4;5;6;6;5;7;5;6;5;3;5;1;5;2;37
6;6;7;6;5;7;6;6;6;5;5;6;6;4;5;3;6;5;7;6;6;7;7;7;7;5;6;5;5;4;5;4;24
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;7;3;36
7;7;7;7;6;6;6;7;7;7;7;7;7;7;7;5;7;6;4;7;6;7;7;7;7;7;7;7;7;7;7;6;54
7;6;7;5;6;6;5;6;6;7;6;6;7;6;7;4;5;6;3;6;6;7;5;6;6;6;6;6;7;5;7;7;39
6;6;6;6;5;5;4;3;6;6;4;5;6;5;7;3;3;4;5;5;3;4;4;4;4;5;6;4;6;6;6;5;25
7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;6;7;6;7;7;7;7;58
4;7;5;5;5;5;6;5;6;5;7;6;4;5;4;2;5;3;1;4;5;6;6;6;3;3;3;3;3;6;5;4;26
5;5;5;6;5;5;4;4;5;6;7;4;5;5;6;3;3;1;3;4;4;6;5;4;5;6;6;5;4;2;3;3;40
6;6;6;6;7;6;5;5;3;5;5;4;5;6;5;3;5;4;4;4;6;7;6;7;6;5;6;6;6;5;6;3;35
5;6;6;5;6;5;6;6;6;7;6;7;7;6;6;3;4;3;3;5;6;6;6;6;4;4;4;4;3;2;3;2;25
6;6;6;5;5;4;6;4;4;4;5;2;5;5;7;5;2;3;5;4;4;5;4;4;6;6;4;4;7;7;6;5;45
7;7;7;7;7;7;7;6;7;7;7;6;7;7;7;7;7;7;5;7;7;7;7;7;7;6;6;5;7;7;7;7;31
4;3;5;5;6;4;4;4;2;3;3;1;4;5;3;2;3;2;1;3;4;6;6;5;4;3;3;3;5;4;5;4;23
5;4;5;4;7;4;3;6;4;5;5;2;5;5;6;1;1;2;2;2;5;5;5;7;6;6;4;4;6;4;5;6;59
6;6;6;7;7;5;5;7;3;5;7;7;7;5;6;4;5;5;6;5;7;6;6;7;7;6;6;5;7;4;6;5;34
4;4;4;3;4;3;4;3;3;4;5;4;3;3;5;2;4;2;2;2;4;4;4;4;4;3;4;3;3;1;5;1;47
6;6;5;7;4;4;4;2;5;5;7;4;4;3;5;2;3;3;3;4;6;6;6;5;5;4;4;3;2;2;4;1;33
5;7;6;7;6;6;7;7;6;5;6;6;7;7;7;4;6;6;5;5;7;7;6;6;7;7;6;7;5;5;4;2;29
4;5;6;4;6;4;3;4;4;3;5;4;4;4;3;1;6;4;4;6;5;5;5;5;5;6;4;3;4;1;3;1;56
5;5;6;5;5;4;4;3;4;3;3;3;3;2;3;1;4;4;3;5;2;3;2;3;4;5;4;5;6;3;5;6;50
6;6;6;5;7;6;6;6;5;7;7;5;5;4;6;3;4;4;4;7;5;6;6;6;6;5;7;6;7;5;7;7;47
6;5;6;5;5;6;5;4;7;7;7;7;7;7;7;4;5;6;4;6;6;6;6;7;7;6;7;6;6;4;6;2;47
7;7;7;7;7;7;7;6;7;7;7;6;6;7;6;3;7;7;6;7;7;7;6;7;7;5;7;6;6;6;7;7;59
5;6;6;6;7;6;6;5;5;5;5;3;6;7;7;6;7;7;7;7;7;7;7;7;5;5;5;4;7;7;7;7;49
4;6;7;4;5;4;6;5;7;7;7;7;5;6;4;3;5;2;4;4;1;1;3;2;7;7;7;6;5;6;6;7;51
6;6;7;7;6;6;5;4;7;7;7;7;6;5;5;3;3;5;3;5;5;7;5;6;7;7;7;7;5;2;6;1;23
7;7;7;7;6;6;7;6;7;7;7;7;5;4;6;1;7;5;5;7;6;7;7;7;5;6;5;4;7;7;7;7;52
5;5;6;6;4;5;5;5;5;5;6;4;3;4;3;4;5;3;4;6;5;6;6;5;5;4;3;1;4;2;4;3;37
4;5;6;4;5;6;4;5;5;7;5;4;4;4;4;5;4;5;5;4;7;6;5;7;7;5;6;3;5;3;3;5;45
4;4;4;4;6;5;5;5;6;7;5;6;4;4;5;1;5;3;3;5;4;4;6;6;6;5;5;5;5;4;4;2;64
6;6;6;6;6;4;5;5;4;4;6;5;6;5;5;5;3;2;3;3;2;3;2;3;6;4;5;4;3;2;4;2;38
5;4;5;4;5;5;4;4;3;4;4;5;6;5;5;3;3;4;3;3;5;6;5;5;4;3;3;2;6;4;5;3;40
4;4;4;3;3;3;4;3;5;5;5;4;4;4;4;3;4;4;4;4;4;5;4;5;4;3;3;4;3;2;3;1;38
4;5;7;5;7;7;5;5;5;5;7;5;4;6;5;2;3;2;2;5;4;4;5;3;7;5;4;4;6;6;6;5;45
5;5;5;5;5;5;5;2;4;6;6;5;4;4;4;1;5;5;5;5;6;5;6;7;6;5;6;4;4;3;4;3;54
6;7;6;6;7;7;7;7;7;7;7;7;6;7;5;2;7;7;6;7;7;7;7;6;7;7;7;7;5;6;5;4;49
5;4;4;4;4;4;3;3;6;6;7;6;6;4;5;4;4;4;5;3;5;7;6;6;5;5;5;3;7;4;7;4;44
5;6;6;6;7;5;4;6;6;7;7;6;7;7;6;4;6;4;5;4;7;6;7;7;5;5;6;6;4;4;4;4;63
4;5;5;3;6;4;5;4;5;6;5;4;5;7;7;4;7;5;4;4;4;6;5;5;3;3;4;3;6;6;6;5;48
7;5;7;6;7;7;7;5;6;7;7;7;5;6;5;5;5;5;3;4;5;7;6;5;7;7;6;6;6;7;7;7;43
5;7;6;6;6;6;5;6;6;7;6;5;6;5;5;4;3;4;5;4;6;6;4;5;7;7;7;5;7;4;5;6;23
7;7;7;6;6;6;5;6;6;7;7;6;6;5;6;4;7;5;5;5;4;5;5;5;6;5;5;5;5;2;5;6;40
7;7;7;7;7;6;6;5;7;7;7;7;6;6;5;3;6;7;6;7;5;5;6;6;6;6;5;6;5;3;4;4;27
4;4;5;4;5;5;6;4;4;4;5;3;4;4;5;3;4;1;2;4;2;4;3;3;5;3;3;2;2;2;5;2;65
7;7;7;7;7;7;7;7;7;6;7;7;7;7;7;5;6;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;62
4;5;5;5;5;4;5;4;3;3;6;3;6;6;6;4;6;5;4;6;5;5;5;5;6;5;5;4;5;4;3;6;40
6;6;6;6;5;5;5;5;5;5;6;5;6;6;6;4;3;3;4;3;3;4;5;5;5;4;4;3;6;4;6;2;46
6;5;6;5;5;5;5;5;5;4;6;4;5;5;5;3;4;4;4;4;3;5;4;4;5;5;5;5;6;5;5;4;52
5;5;6;4;5;6;4;6;5;6;6;4;5;7;6;4;6;7;7;6;5;5;6;5;7;6;7;6;5;6;5;4;44
7;7;6;6;5;4;6;3;4;6;7;4;6;3;4;1;5;2;2;4;5;6;6;5;5;3;3;3;3;3;2;2;32
5;6;7;6;5;5;6;5;6;4;5;4;6;5;7;4;6;5;5;6;6;7;7;7;6;6;5;4;5;2;6;5;60
7;7;6;6;6;6;7;4;7;7;7;7;7;7;7;4;7;6;5;6;7;7;6;7;7;5;7;6;4;6;5;5;33
6;6;5;6;5;6;7;6;5;5;4;3;6;5;5;4;5;5;7;5;5;5;6;4;4;4;4;3;6;6;6;4;40
4;5;6;5;5;5;5;4;5;7;7;7;5;4;4;2;4;4;4;5;5;5;4;6;7;7;7;7;3;1;5;2;66
6;6;7;6;7;5;5;7;5;6;5;4;6;6;7;2;6;6;6;6;6;7;6;5;5;5;5;3;5;2;4;4;37
5;6;7;6;5;4;4;6;7;7;6;7;6;7;5;3;3;5;4;5;3;3;3;4;6;7;6;7;4;3;7;5;45
4;4;5;5;6;6;7;5;4;6;5;6;6;5;7;3;5;4;3;5;4;6;5;4;5;5;4;4;6;2;4;4;46
7;7;7;7;7;7;7;6;6;5;6;5;7;6;7;4;6;5;6;7;6;5;6;6;6;6;6;6;7;5;5;7;47
7;7;7;7;7;6;6;6;7;7;7;6;7;7;7;4;7;6;5;6;4;4;5;5;7;7;7;7;6;5;5;4;55
5;5;5;5;4;4;3;4;2;2;4;2;4;3;3;1;4;2;5;4;5;5;5;5;6;5;4;4;5;6;5;5;37
7;7;7;7;7;5;6;5;5;6;6;5;7;6;4;4;4;4;4;6;5;5;5;4;7;6;6;6;7;1;7;4;39
6;6;6;6;6;5;4;5;7;6;7;6;5;5;5;3;7;7;5;7;5;5;6;5;6;5;5;5;5;6;7;5;42
7;6;6;7;5;6;6;6;7;6;7;6;6;5;5;3;5;5;4;6;5;5;5;6;4;4;4;2;4;1;4;4;26
7;6;6;6;7;6;6;5;5;6;6;7;5;5;5;3;5;5;6;5;6;6;7;7;6;4;4;4;5;5;5;6;61
7;7;7;7;6;5;5;5;7;7;7;7;6;6;7;4;5;5;6;6;5;6;6;6;6;6;6;6;4;2;5;3;23
7;7;7;6;5;5;5;4;4;4;4;6;4;5;5;2;5;4;5;5;3;4;4;4;5;4;7;5;7;4;7;4;48
7;7;7;7;6;5;7;6;7;7;7;7;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;5;59
7;6;7;5;6;7;6;7;4;4;7;5;7;4;4;4;7;7;7;7;7;7;7;7;7;6;7;6;7;7;6;6;45
5;6;6;4;6;7;6;6;5;6;7;4;6;6;5;2;6;5;7;4;5;6;6;7;5;5;4;2;7;6;5;6;32
5;5;5;5;5;5;4;3;5;4;6;6;3;4;2;1;5;6;5;6;3;4;3;3;5;4;4;6;6;7;7;4;48
5;5;7;4;5;6;5;4;3;4;6;3;6;7;7;3;7;6;6;5;5;7;6;6;6;6;7;6;5;4;3;3;52
4;5;6;4;6;6;5;5;3;4;6;5;6;6;4;3;1;3;1;2;4;5;6;5;6;5;5;6;4;2;3;1;33
7;6;7;7;6;6;4;3;6;5;6;6;7;6;4;4;6;6;3;6;6;5;5;6;5;4;5;2;7;5;7;5;32
7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;6;6;6;7;7;6;7;6;6;7;6;6;7;7;7;5;43
5;5;5;5;4;5;3;5;5;6;7;5;4;5;4;1;3;2;3;3;5;6;5;4;5;4;6;4;3;3;4;2;37
6;6;7;7;5;7;6;5;5;6;6;5;7;6;6;3;4;5;6;5;7;7;7;7;6;6;6;4;6;4;4;3;34
5;6;6;7;7;5;6;5;7;7;7;6;5;5;4;3;6;6;7;7;6;7;7;7;7;7;7;7;4;2;4;5;42
6;6;6;4;6;7;7;5;4;7;6;5;6;7;7;5;6;7;7;7;7;7;7;7;5;5;4;5;7;6;6;5;29
7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;3;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;43
6;7;7;6;7;5;6;7;6;7;7;7;7;6;6;3;5;4;5;7;5;5;5;6;7;6;6;6;6;7;4;6;38
6;6;7;6;5;5;5;4;6;6;7;6;6;5;4;4;7;5;6;6;3;4;4;5;5;6;5;5;6;4;6;3;29
5;5;6;5;5;4;4;4;5;5;5;5;5;4;4;3;5;5;5;5;4;5;4;5;5;4;5;5;5;3;5;4;50
6;7;7;7;7;6;7;6;6;6;6;6;6;7;6;6;4;3;3;3;3;4;4;4;6;6;7;7;5;6;7;4;45
4;5;6;5;4;5;5;4;5;5;5;5;5;4;4;1;7;6;4;7;5;6;4;6;7;6;5;7;4;1;4;2;38
6;6;7;5;6;7;7;7;4;5;4;4;6;5;5;4;5;6;5;5;7;7;7;7;3;3;4;2;6;5;5;5;36
6;6;7;7;7;6;6;7;7;7;7;7;7;7;6;3;5;5;6;4;5;5;5;4;7;6;7;7;6;4;6;5;47
5;5;4;3;5;5;5;4;5;7;6;4;6;5;6;2;3;4;3;4;6;7;5;5;6;5;4;4;4;2;5;1;65
7;7;7;7;7;7;7;7;6;7;6;5;7;7;7;5;7;5;7;6;7;7;7;7;7;6;6;5;7;7;7;4;41
